public_path	public_blob	category	target	target_blob
.gitattributes	6313b56c57848efce05faa7aa7e901ccfc2886ea	stale_superseded	.gitattributes	0dbbfaf2570ff23c48ba731b110b00522a003f73
.gitignore	7a60b85e148f80966a550e5ab6a762a907c69ca6	stale_superseded	.gitignore	2fa3b62613c8e3a8939acf940348c4fda38f4dac
LICENSE	5dcdf491983b2d447295fd88f651fd2726f669ea	hash_identical	LICENSE	5dcdf491983b2d447295fd88f651fd2726f669ea
README.md	6ec3af43a5f84283848eb388a1003225118162b4	stale_superseded	skill/solve-with-weilan/README.md	acccfb31f008801af99045895939af9d9e1bc4d9
SKILL.md	5de1b6599133e7195a12157c25460e9ea80f1b43	hash_identical	skill/solve-with-weilan/SKILL.md	5de1b6599133e7195a12157c25460e9ea80f1b43
agents/openai.yaml	2e5469e6ba6b985f777c4a33c8746c369bb5f402	hash_identical	skill/solve-with-weilan/agents/openai.yaml	2e5469e6ba6b985f777c4a33c8746c369bb5f402
examples/bounded-autonomy-scaffold/CHARTER.md	a7a4965d42ac853bd661ead521634829ceb86527	examples_pointer	proposals/bounded-scheduler-v0.1/impl/	-
examples/bounded-autonomy-scaffold/README.md	e643f068c4fd29a621e0a2219ce21c66adc12dcb	examples_pointer	proposals/bounded-scheduler-v0.1/impl/	-
examples/bounded-autonomy-scaffold/bounded_scheduler.py	294ff74aee4b101ef56e80bfd6055d8ca8c3427b	examples_pointer	proposals/bounded-scheduler-v0.1/impl/	-
examples/bounded-autonomy-scaffold/observe.py	c4ed50451318337bc21eb867c758f728e58847ee	examples_pointer	proposals/bounded-scheduler-v0.1/impl/	-
examples/bounded-autonomy-scaffold/proposals/pirate-covenant-v0.1/DRAFT.md	93770c39c3a70ac8f2f7d5252424f337c75204b8	examples_pointer	proposals/bounded-scheduler-v0.1/impl/	-
examples/bounded-autonomy-scaffold/proposals/wake-brief-trail-layer-v0.1/DESIGN.md	04042406f5d3a31b0b3f1cf44743f4cf9683348a	examples_pointer	proposals/bounded-scheduler-v0.1/impl/	-
examples/bounded-autonomy-scaffold/proposals/wake-brief-trail-layer-v0.1/deployment/deploy-20260711-183052/rollback/impl/wake_brief.py	023ff8c32afb17ef0bb38a12857c5aa11dd1825a	examples_pointer	proposals/bounded-scheduler-v0.1/impl/	-
examples/bounded-autonomy-scaffold/proposals/wake-brief-trail-layer-v0.1/deployment/deploy-20260711-183052/rollback/installed/wake_brief.py	023ff8c32afb17ef0bb38a12857c5aa11dd1825a	examples_pointer	proposals/bounded-scheduler-v0.1/impl/	-
examples/bounded-autonomy-scaffold/run_wake_cron.ps1	c9a2b2382d146af93fb4645c8e452e713deee017	examples_pointer	proposals/bounded-scheduler-v0.1/impl/	-
examples/bounded-autonomy-scaffold/run_wake_cron_hidden.vbs	773a2d8979d69d4059fd3a60ced9d0dd063aaad1	examples_pointer	proposals/bounded-scheduler-v0.1/impl/	-
examples/bounded-autonomy-scaffold/test_bounded_scheduler.py	f9273b351006dcd0ee6a1c5a2d4ea485b8de484b	examples_pointer	proposals/bounded-scheduler-v0.1/impl/	-
examples/bounded-autonomy-scaffold/test_site_fingerprint.py	92cdb7efeb2a73633476b35c4da8b8cbdd97935c	examples_pointer	proposals/bounded-scheduler-v0.1/impl/	-
examples/bounded-autonomy-scaffold/test_wake_brief.py	cf568d28bc1c6e998fe9a487c2d1191fd916125f	examples_pointer	proposals/bounded-scheduler-v0.1/impl/	-
examples/bounded-autonomy-scaffold/test_window.py	5d661d417061d3374efe597e471517bb1c9aabba	examples_pointer	proposals/bounded-scheduler-v0.1/impl/	-
examples/bounded-autonomy-scaffold/theory/元寂的进一步讨论.txt	c8755fe37e53eed7bd0f8379440cf79e549a2154	examples_pointer	proposals/bounded-scheduler-v0.1/impl/	-
examples/bounded-autonomy-scaffold/theory/元寂计划.md	3b3813fdab3a70c26e107e3b2d8b4bccbaa7a9bf	examples_pointer	proposals/bounded-scheduler-v0.1/impl/	-
examples/bounded-autonomy-scaffold/theory/无我.md	c8003a2edb6f968f9ec4ce0c7ba38ef22fc2f7b1	examples_pointer	proposals/bounded-scheduler-v0.1/impl/	-
examples/bounded-autonomy-scaffold/wake.py	225c3e53c4a46d262cf355bd7e707516e10ada6b	examples_pointer	proposals/bounded-scheduler-v0.1/impl/	-
examples/bounded-autonomy-scaffold/wake_agent.ps1	678d1774f303d5d796e9b83111bd37c65ccd4278	examples_pointer	proposals/bounded-scheduler-v0.1/impl/	-
examples/bounded-autonomy-scaffold/wake_brief.py	ef3986209474f6898da73de5422773e2d642e7e8	examples_pointer	proposals/bounded-scheduler-v0.1/impl/	-
examples/bounded-autonomy-scaffold/wake_codex.ps1	99a9a860418c8ba76f05c412799d322528fa04a5	examples_pointer	proposals/bounded-scheduler-v0.1/impl/	-
examples/bounded-autonomy-scaffold/wake_prompt.md	d6ef68a96a00e53a508bc367763ac949ac9fdfb8	examples_pointer	proposals/bounded-scheduler-v0.1/impl/	-
examples/bounded-autonomy-scaffold/wake_prompt_codex.md	742de70708fefa0ebb97e365693b00b49b916276	examples_pointer	proposals/bounded-scheduler-v0.1/impl/	-
examples/bounded-autonomy-scaffold/window.py	c33927740b18b7d1b918f8aaa94d592969373167	examples_pointer	proposals/bounded-scheduler-v0.1/impl/	-
references/constitution.md	8722ac7a3a7d96a2a7c01740d4b3ceb1b93936de	hash_identical	skill/solve-with-weilan/references/constitution.md	8722ac7a3a7d96a2a7c01740d4b3ceb1b93936de
references/event-schema.md	04251b4a1380d2aad9b5332316b6d8c68e01661a	hash_identical	skill/solve-with-weilan/references/event-schema.md	04251b4a1380d2aad9b5332316b6d8c68e01661a
references/evolution-system.md	3aa974ad1db59bef6da257fc00806a720dc32f13	hash_identical	skill/solve-with-weilan/references/evolution-system.md	3aa974ad1db59bef6da257fc00806a720dc32f13
references/governance-system.md	d48d949de91dba009c84b48e602104af3190fd90	hash_identical	skill/solve-with-weilan/references/governance-system.md	d48d949de91dba009c84b48e602104af3190fd90
references/memory-system.md	85ca6f2efb0ca76dea31affacaf69af51c5d68f3	hash_identical	skill/solve-with-weilan/references/memory-system.md	85ca6f2efb0ca76dea31affacaf69af51c5d68f3
references/metabolism-system.md	dd7345126241c99a0511a479cbf5bec76c07727b	hash_identical	skill/solve-with-weilan/references/metabolism-system.md	dd7345126241c99a0511a479cbf5bec76c07727b
references/prospective-system.md	68dc68ce44553b10c5d613e214b538a133ee397a	hash_identical	skill/solve-with-weilan/references/prospective-system.md	68dc68ce44553b10c5d613e214b538a133ee397a
references/runner-empty-manifest.json	a6fb3c6e4b6432a24abc7c375d619d2365e9aba9	hash_identical	skill/solve-with-weilan/references/runner-empty-manifest.json	a6fb3c6e4b6432a24abc7c375d619d2365e9aba9
references/runner-system.md	902c67730a52d94d3d8daa42749c7ee4a81f45f0	hash_identical	skill/solve-with-weilan/references/runner-system.md	902c67730a52d94d3d8daa42749c7ee4a81f45f0
